"","KIR3DP1","KIR2DS5","KIR2DL3","KIR2DP1","KIR2DS3","KIR2DS2","KIR2DL4","KIR3DL3","KIR3DL1","KIR3DS1","KIR2DL2","KIR3DL2","KIR2DS4","KIR2DL1","KIR2DS1","KIR2DL5"
"1121_S594_L002_R",0.462820940313438,0.38020610044618,1.21988281808222,1.21638959018085,0.000317566172851268,0.00088918528398355,0.873338731958272,1,0.788866129979835,0.533098334365423,0.00114323822226456,1.29789294844313,0.735546769558107,1.0147350704203,0.190110989377412,0.330840438876451
"1122_S595_L002_R",0.494641245487365,0.514007972322503,0.000883724428399519,7.52105896510229e-05,0.000338447653429603,1.09531061973526,0.855746089049338,1,0.619810469314079,0.684247141997593,0.884927797833935,1.30574984957882,0.625846119133574,0.0042870036101083,0.251128158844765,0.396453820697954
"1123_S596_L002_R",0.472145069118539,0.516297928040098,1.23701433451457,1.26198001468569,0.000223477955495961,0.00137279315518948,0.858793857548766,1,0.622864987389458,0.671710883376433,0.000734284710915302,1.30025859591993,0.597675829262842,1.04584490629889,0.2363758260703,0.435462758994988
"1124_S597_L002_R",0.472744388550584,0.00017650692789692,1.21725061041979,1.23496013885212,0.000205924749213073,0.000853116818168446,0.89224252051893,1,1.25661165534081,0.0334186450151502,0.000853116818168446,1.32627305621746,1.27605683523078,1.06833759891742,0.00138263760185921,0.0112964433854029
"1125_S598_L002_R",0.228823529411765,0.49,0.0205882352941176,0.0189705882352941,0,1.10205882352941,0.380147058823529,1,0.525588235294118,0.0225,0.912941176470588,1.28205882352941,0.607352941176471,0.0307352941176471,0.209264705882353,0.299558823529412
"1127_S599_L002_R",0.468502176726674,0.000235321802565008,1.28657489116367,1.25113542769738,4.70643605130015e-05,0.000400047064360513,0.863372161430757,1,1.2287798564537,0.0320272973290975,0.000776561948464525,1.2680550653018,1.16138369219908,1.00785974820567,0.000847158489234028,0.0124485233556889
"1128_S600_L002_R",0.468723736342898,0.000840437027254172,0.658182254772482,1.27530315764197,0.64953775963501,0.591067355024613,0.881978628887021,1,1.273502221155,0.0321767319005883,0.462840677152119,1.33533437387441,1.1234241805739,0.901308680513867,0.00912474486733101,0.342778244687237
"1129_S601_L002_R",0.470927206483753,0.000576251022380846,1.24641237266711,1.25364339356086,0.00039036359580638,0.00579968770912336,0.885270280318239,1,1.18296899397725,0.0313592088631125,0.00494460554688081,1.28989144174288,1.04624879173173,1.0435534240464,0.0100565097776786,0.00868094282102758
"1130_S602_L002_R",0.483430099810816,0.00176136734294475,0.633276795616152,1.26619479418096,1.05688564159436,0.588133602974754,0.906321351686346,1,0.606856285471981,0.655032944092896,0.481342553330289,1.2714788962098,0.571889881923152,0.884532585295844,0.222552025572444,0.741829212603562
"1131_S603_L002_R",0.476190476190476,0.000474608448030375,0.625692137320044,0.633665559246955,6.328112640405e-05,0.565416864420187,0.871919000158203,1,1.21487106470495,0.0251858883088119,0.461983863312767,1.26337604809366,1.2000632811264,0.531308337288404,0.00094921689606075,0.00806834361651637
"1132_S604_L002_R",0.484481530477257,0.000135680607849123,1.31454156914623,1.23591465689766,0.000101760455886842,0.00101760455886842,0.887690376852888,1,1.19046165326821,0.101624775278993,0.00108544486279299,1.30969098741562,1.24863471388352,1.00712323191208,0.000780163495132458,0.0101760455886842
"1134_S606_L002_R",0.470120442171259,0.000329978551394159,0.61976571522851,0.630457020293681,0.000131991420557664,0.59663421877578,0.877841940273882,1,1.22101963372381,0.0299950503217291,0.433426827256228,1.25761425507342,1.1267447615905,0.532585381950173,0.00607160534565253,0.00768850024748391
"1135_S607_L002_R",0.45939146783889,0.000185366628710643,1.25564706193893,1.27487222943092,0.000132404734793316,0.000370733257421285,0.891798850726902,1,1.31271350263485,0.0248656091941848,0.00124460450705717,1.28824510764505,1.17241744564786,1.04975769933533,0.00082090935571856,0.00990387416254005
"1136_S608_L002_R",0.492364348072416,0.496587777806392,1.24405758285906,1.24372279879478,0.0122582472766604,0.0192629600061806,0.871700445520332,1,0.672941721820195,0.664494862352244,0.0100692745486853,1.34238108727563,0.629110762020036,1.08397929489326,0.246684350132626,0.425819577141974
